year,month,day,day_index,cholera_cases,cholera_deaths,full_date
1853,6,12,1,2,1,12061853
1853,6,13,2,1,1,13061853
1853,6,14,3,0,0,14061853
1853,6,15,4,0,0,15061853
1853,6,16,5,1,0,16061853
1853,6,17,6,0,0,17061853
1853,6,18,7,1,1,18061853
1853,6,19,8,0,0,19061853
1853,6,20,9,7,4,20061853
1853,6,21,10,3,2,21061853
1853,6,22,11,2,2,22061853
1853,6,23,12,3,2,23061853
1853,6,24,13,3,1,24061853
1853,6,25,14,17,14,25061853
1853,6,26,15,4,4,26061853
1853,6,27,16,7,4,27061853
1853,6,28,17,11,7,28061853
1853,6,29,18,19,13,29061853
1853,6,30,19,9,4,30061853
1853,7,1,20,13,9,1071853
1853,7,2,21,31,19,2071853
1853,7,3,22,34,30,3071853
1853,7,4,23,42,31,4071853
1853,7,5,24,27,13,5071853
1853,7,6,25,44,34,6071853
1853,7,7,26,49,39,7071853
1853,7,8,27,49,38,8071853
1853,7,9,28,60,42,9071853
1853,7,10,29,49,33,10071853
1853,7,11,30,84,59,11071853
1853,7,12,31,73,48,12071853
1853,7,13,32,101,73,13071853
1853,7,14,33,153,120,14071853
1853,7,15,34,305,229,15071853
1853,7,16,35,309,227,16071853
1853,7,17,36,284,198,17071853
1853,7,18,37,255,180,18071853
1853,7,19,38,310,202,19071853
1853,7,20,39,333,227,20071853
1853,7,21,40,246,175,21071853
1853,7,22,41,258,172,22071853
1853,7,23,42,221,152,23071853
1853,7,24,43,209,140,24071853
1853,7,25,44,261,172,25071853
1853,7,26,45,270,206,26071853
1853,7,27,46,340,217,27071853
1853,7,28,47,277,174,28071853
1853,7,29,48,226,160,29071853
1853,7,30,49,213,141,30071853
1853,7,31,50,205,136,31071853
1853,8,1,51,147,84,1081853
1853,8,2,52,149,92,2081853
1853,8,3,53,133,81,3081853
1853,8,4,54,121,61,4081853
1853,8,5,55,120,67,5081853
1853,8,6,56,84,45,6081853
1853,8,7,57,59,35,7081853
1853,8,8,58,100,52,8081853
1853,8,9,59,78,38,9081853
1853,8,10,60,61,32,10081853
1853,8,11,61,63,37,11081853
1853,8,12,62,58,41,12081853
1853,8,13,63,47,22,13081853
1853,8,14,64,46,23,14081853
1853,8,15,65,46,27,15081853
1853,8,16,66,45,24,16081853
1853,8,17,67,34,17,17081853
1853,8,18,68,35,18,18081853
1853,8,19,69,33,17,19081853
1853,8,20,70,25,9,20081853
1853,8,21,71,20,8,21081853
1853,8,22,72,21,11,22081853
1853,8,23,73,32,18,23081853
1853,8,24,74,22,10,24081853
1853,8,25,75,29,13,25081853
1853,8,26,76,20,13,26081853
1853,8,27,77,13,6,27081853
1853,8,28,78,11,6,28081853
1853,8,29,79,21,8,29081853
1853,8,30,80,9,4,30081853
1853,8,31,81,10,6,31081853
1853,9,1,82,9,4,1091853
1853,9,2,83,8,5,2091853
1853,9,3,84,8,4,3091853
1853,9,4,85,11,8,4091853
1853,9,5,86,6,3,5091853
1853,9,6,87,5,0,6091853
1853,9,7,88,3,2,7091853
1853,9,8,89,3,1,8091853
1853,9,9,90,0,0,9091853
1853,9,10,91,2,1,10091853
1853,9,11,92,3,3,11091853
1853,9,12,93,4,0,12091853
1853,9,13,94,4,0,13091853
1853,9,14,95,8,6,14091853
1853,9,15,96,8,1,15091853
1853,9,16,97,1,0,16091853
1853,9,17,98,5,3,17091853
1853,9,18,99,6,5,18091853
1853,9,19,100,2,2,19091853
1853,9,20,101,1,1,20091853
1853,9,21,102,0,0,21091853
1853,9,22,103,0,0,22091853
1853,9,23,104,1,1,23091853
1853,9,24,105,1,1,24091853
1853,9,25,106,3,3,25091853
1853,9,26,107,0,0,26091853
1853,9,27,108,0,0,27091853
1853,9,28,109,1,0,28091853
1853,9,29,110,1,0,29091853
1853,9,30,111,1,1,30091853
1853,10,1,112,1,1,1101853
